Skill	EntityID
Adjustable fret slotting saws	ONET:AdjustableFretSlottingSaws
Adjustable gap spark testers	ONET:AdjustableGapSparkTesters
Adjustable hacksaws	ONET:AdjustableHacksaws
Adjustable hand clamps	ONET:AdjustableHandClamps
Adjustable hand reamers	ONET:AdjustableHandReamers
Adjustable hand wrenches	ONET:AdjustableHandWrenches
Adjustable handwrenches	ONET:AdjustableHandwrenches
Adjustable height instrument tables	ONET:AdjustableHeightInstrumentTables
Adjustable hospital beds	ONET:AdjustableHospitalBeds
Adjustable jigs	ONET:AdjustableJigs
Adjustable monkey wrenches	ONET:AdjustableMonkeyWrenches
Adjustable open end wrenches	ONET:AdjustableOpenEndWrenches
Adjustable pin spanner wrenches	ONET:AdjustablePinSpannerWrenches
Adjustable pipe wrenches	ONET:AdjustablePipeWrenches
Adjustable roof brackets	ONET:AdjustableRoofBrackets
Adjustable slip lock nut wrenches	ONET:AdjustableSlipLockNutWrenches
Adjustable spanner wrenches	ONET:AdjustableSpannerWrenches
Adjustable squares	ONET:AdjustableSquares
Adjustable task lamps	ONET:AdjustableTaskLamps
Adjustable wedges	ONET:AdjustableWedges
Adjustable widemouth pliers	ONET:AdjustableWidemouthPliers
Adjustable wrenches	ONET:AdjustableWrenches
Adjustable wrench sets	ONET:AdjustableWrenchSets
Adjusting tables	ONET:AdjustingTables
Adjustment tables	ONET:AdjustmentTables
ADL Data Systems OptimumClinicals Electronic Health Record	ONET:ADLDataSystemsOptimumClinicalsElectronicHealthRecord
Adlib Express	ONET:AdlibExpress
Adlib Information Systems Adlib Archive	ONET:AdlibInformationSystemsAdlibArchive
Admissions discharge and transfer ADT software	ONET:Admissions,Discharge,AndTransferADTSoftware
ADMS pollution modeling software	ONET:ADMSPollutionModelingSoftware
Adobe Systems Adobe Acrobat	ONET:AdobeSystemsAdobeAcrobat
Adobe Systems Adobe Acrobat Pro Extended	ONET:AdobeSystemsAdobeAcrobatProExtended
Adobe Systems Adobe Acrobat Reader	ONET:AdobeSystemsAdobeAcrobatReader
Adobe Systems Adobe Acrobat Writer	ONET:AdobeSystemsAdobeAcrobatWriter
Adobe Systems Adobe ActionScript	ONET:AdobeSystemsAdobeActionScript
Adobe Systems Adobe After Effects	ONET:AdobeSystemsAdobeAfterEffects
Adobe Systems Adobe AIR	ONET:AdobeSystemsAdobeAIR
Adobe Systems Adobe Audition	ONET:AdobeSystemsAdobeAudition
Adobe Systems Adobe Authorware	ONET:AdobeSystemsAdobeAuthorware
Adobe Systems Adobe Captivate	ONET:AdobeSystemsAdobeCaptivate
Adobe Systems Adobe ColdFusion	ONET:AdobeSystemsAdobeColdFusion
Adobe Systems Adobe Connect	ONET:AdobeSystemsAdobeConnect
Adobe Systems Adobe Contribute	ONET:AdobeSystemsAdobeContribute
Adobe Systems Adobe Creative Cloud	ONET:AdobeSystemsAdobeCreativeCloud
Adobe Systems Adobe Creative Suite	ONET:AdobeSystemsAdobeCreativeSuite
Adobe Systems Adobe Director	ONET:AdobeSystemsAdobeDirector
Adobe Systems Adobe Distiller	ONET:AdobeSystemsAdobeDistiller
Adobe Systems Adobe Dreamweaver	ONET:AdobeSystemsAdobeDreamweaver
Adobe Systems Adobe eLearning Suite	ONET:AdobeSystemsAdobeELearningSuite
Adobe Systems Adobe Experience Manager	ONET:AdobeSystemsAdobeExperienceManager(AEM)
AEM	ONET:AdobeSystemsAdobeExperienceManager(AEM)
Adobe Systems Adobe Fireworks	ONET:AdobeSystemsAdobeFireworks
Adobe Systems Adobe Flex	ONET:AdobeSystemsAdobeFlex
Adobe Systems Adobe FrameMaker	ONET:AdobeSystemsAdobeFrameMaker
Adobe Systems Adobe FreeHand MX	ONET:AdobeSystemsAdobeFreeHandMX
Adobe Systems Adobe Human Capital Application Solution Accelerator	ONET:AdobeSystemsAdobeHumanCapitalApplicationSolutionAccelerator
Adobe Systems Adobe Illustrator	ONET:AdobeSystemsAdobeIllustrator
Adobe Systems Adobe ImageReady	ONET:AdobeSystemsAdobeImageReady
Adobe Systems Adobe InCopy	ONET:AdobeSystemsAdobeInCopy
Adobe Systems Adobe InDesign	ONET:AdobeSystemsAdobeInDesign
Adobe Systems Adobe LifeCycle Enterprise Suite	ONET:AdobeSystemsAdobeLifeCycleEnterpriseSuite
Adobe Systems Adobe LifeCycle ES	ONET:AdobeSystemsAdobeLifeCycleES
Adobe Systems Adobe LifeCycle Production Print ES3	ONET:AdobeSystemsAdobeLifeCycleProductionPrintES3
Adobe Systems Adobe LiveMotion	ONET:AdobeSystemsAdobeLiveMotion
Adobe Systems Adobe Macromedia HomeSite	ONET:AdobeSystemsAdobeMacromediaHomeSite
